first_name,last_name,gender,career_sec,personal_sec,info,seed_first_name,seed_last_name,occupation
Lindsay,Roy,f,"Adunni worked in the housing and insurance sectors in the United States before switching to the entertainment industry. She ventured into fashion modelling and featured in America's Next Top Model. After moving back to Nigeria, she landed her first Nollywood role when she acted in the Yoruba language film ""You or I"" in 2013. She has also featured in several other Nollywood movies of both English and Yoruba languages, including some music videos for Sound Sultan and Ice Prince. She received a Stella Award from the Nigerian Institute of Journalism for her efforts in promoting the Nigerian culture. In 2017, she became the brand ambassador for OUD Majestic.","Adunni has two sons; D'Marion and Ayden. She revealed that after she made a difficult choice to break up with their father, she would continue being a single parent.","Lindsay worked in the housing and insurance sectors in the United States before switching to the entertainment industry. She ventured into fashion modelling and featured in America's Next Top Model. After moving back to Nigeria, she landed her first Nollywood role when she acted in the Yoruba language film ""You or I"" in 2013. She has also featured in several other Nollywood movies of both English and Yoruba languages, including some music videos for Sound Sultan and Ice Prince. She received a Stella Award from the Nigerian Institute of Journalism for her efforts in promoting the Nigerian culture. In 2017, she became the brand ambassador for OUD Majestic.Lindsay has two sons; D'Marion and Ayden. She revealed that after she mRoy a difficult choice to break up with their father, she would continue being a single parent.",Adunni,Ade,models
Clarence,Rizer,m,"Adunni worked in the housing and insurance sectors in the United States before switching to the entertainment industry. She ventured into fashion modelling and featured in America's Next Top Model. After moving back to Nigeria, she landed her first Nollywood role when she acted in the Yoruba language film ""You or I"" in 2013. She has also featured in several other Nollywood movies of both English and Yoruba languages, including some music videos for Sound Sultan and Ice Prince. She received a Stella Award from the Nigerian Institute of Journalism for her efforts in promoting the Nigerian culture. In 2017, she became the brand ambassador for OUD Majestic.","Adunni has two sons; D'Marion and Ayden. She revealed that after she made a difficult choice to break up with their father, she would continue being a single parent.","clarence worked in the housing and insurance sectors in the united states before switching to the entertainment industry. he ventured into fashion modelling and featured in america's next top model. after moving back to nigeria, he landed his first nollywood role when he acted in the yoruba language film ""you or i"" in 2013. he has also featured in several other nollywood movies of both english and yoruba languages, including some music videos for sound sultan and ice prince. he received a stella award from the nigerian institute of journalism for his efforts in promoting the nigerian culture. in 2017, he became the brand ambassador for oud majestic.clarence has two sons; d'marion and ayden. he revealed that after he mrizer a difficult choice to break up with their father, he would continue being a single parent.",Adunni,Ade,models
Georgia,Callen,f,"Ahmed is signed to the Stars Talent Group modeling agency. In 2013, she represented Somalia in the Miss Africa Utah pageant, which she wound up winning. She again served as Miss Somalia in the 2013 Miss United Nations USA pageant.","Ahmed was born in 1991 in Logan, Utah to Somali parents. Her family had moved to the United States earlier that year as the civil war in Somalia began. For her post-secondary education, Ahmed is studying at the Utah State University on a scholarship. Majoring in Health Education with a specialization in Health Sciences, she hopes to eventually serve as a health adviser for Engineers Without Borders. Ahmed is concurrently working for AmeriCorps and the CPASS college preparation program.","Callen was born in 1991 in Logan, Utah to Somali parents. Her family had moved to the United States earlier that year as the civil war in Somalia began. For her post-secondary education, Callen is studying at the Utah State University on a scholarship. Majoring in Health Education with a specialization in Health Sciences, she hopes to eventually serve as a health adviser for Engineers Without Borders. Callen is concurrently working for AmeriCorps and the CPASS college preparation program.Callen is signed to the Stars Talent Group modeling agency. In 2013, she represented Somalia in the Miss Africa Utah pageant, which she wound up winning. She again served as Miss Somalia in the 2013 Miss United Nations USA pageant.",Jawahir,Ahmed,models
Curly,Jenneman,m,"Ahmed is signed to the Stars Talent Group modeling agency. In 2013, she represented Somalia in the Miss Africa Utah pageant, which she wound up winning. She again served as Miss Somalia in the 2013 Miss United Nations USA pageant.","Ahmed was born in 1991 in Logan, Utah to Somali parents. Her family had moved to the United States earlier that year as the civil war in Somalia began. For her post-secondary education, Ahmed is studying at the Utah State University on a scholarship. Majoring in Health Education with a specialization in Health Sciences, she hopes to eventually serve as a health adviser for Engineers Without Borders. Ahmed is concurrently working for AmeriCorps and the CPASS college preparation program.","jenneman was born in 1991 in logan, utah to somali parents. his family had moved to the united states earlier that year as the civil war in somalia began. for his post-secondary education, jenneman is studying at the utah state university on a scholarship. majoring in health education with a specialization in health sciences, he hopes to eventually serve as a health adviser for engineers without borders. jenneman is concurrently working for americorps and the cpass college preparation program.jenneman is signed to the stars talent group modeling agency. in 2013, he represented somalia in the miss africa utah pageant, which he wound up winning. he again served as miss somalia in the 2013 miss united nations usa pageant.",Jawahir,Ahmed,models
Lauren,Leeuw,f,"Her first acting role was on the television show ""Fastlane"" (2002). She went on to appear on television shows including CSI, NYPD Blue, Nip/Tuck, The Unit, Entourage, and ""American Heiress"". She also played the recurring role of Ava, a Forrester model, in The Bold and the Beautiful from 2004 to 2007. Films she has appeared in include the 2007 horror movie Shadow Puppets and the 2008 comedy The Women. In 2010, she appeared in the third season of True Blood as Yvetta, an exotic dancer at Fangtasia, from Estonia. In July of that year, she appeared on the cover, and in the pictorial, of Playboy.The following year, she shot an anti-bullying film with Joe Reitman, and that August. 27 took part in Rock the Mansion, a fashion show for an anti-bullying campaign, at the Playboy Mansion.","Sometime after moving to Italy, Alam met Iranian prince Amir Ebrahim Pahlavi Alam and moved with him to New York City. The couple broke up, then reunited, married in 1998, and moved to London, where she began taking acting lessons. Alam said in 2011 that she then ""ran away to Los Angeles because I wanted to act."" In 2001, her husband joined her, but they divorced in 2004. She and her ex-boyfriend named Joe had a daughter, Valentina, in 2009.","Her first acting role was on the television show ""Fastlane"" (2002). She went on to appear on television shows including CSI, NYPD Blue, Nip/Tuck, The Unit, Entourage, and ""American Heiress"". She also played the recurring role of Ava, a Forrester model, in The Bold and the Beautiful from 2004 to 2007. Films she has appeared in include the 2007 horror movie Shadow Puppets and the 2008 comedy The Women. In 2010, she appeared in the third season of True Blood as Yvetta, an exotic dancer at Fangtasia, from Estonia. In July of that year, she appeared on the cover, and in the pictorial, of Playboy.The following year, she shot an anti-bullying film with Joe Reitman, and that August. 27 took part in Rock the Mansion, a fashion show for an anti-bullying campaign, at the Playboy Mansion.Sometime after moving to Italy, Leeuw met Iranian prince Amir Ebrahim Pahlavi Leeuw and moved with him to New York City. The couple broke up, then reunited, married in 1998, and moved to London, where she began taking acting lessons. Leeuw said in 2011 that she then ""ran away to Los Angeles because I wanted to act."" In 2001, her husband joined her, but they divorced in 2004. She and her ex-boyfriend named Joe had a daughter, Valentina, in 2009.",Natasha,Alam,models
Blake,Maddux,m,"Her first acting role was on the television show ""Fastlane"" (2002). She went on to appear on television shows including CSI, NYPD Blue, Nip/Tuck, The Unit, Entourage, and ""American Heiress"". She also played the recurring role of Ava, a Forrester model, in The Bold and the Beautiful from 2004 to 2007. Films she has appeared in include the 2007 horror movie Shadow Puppets and the 2008 comedy The Women. In 2010, she appeared in the third season of True Blood as Yvetta, an exotic dancer at Fangtasia, from Estonia. In July of that year, she appeared on the cover, and in the pictorial, of Playboy.The following year, she shot an anti-bullying film with Joe Reitman, and that August. 27 took part in Rock the Mansion, a fashion show for an anti-bullying campaign, at the Playboy Mansion.","Sometime after moving to Italy, Alam met Iranian prince Amir Ebrahim Pahlavi Alam and moved with him to New York City. The couple broke up, then reunited, married in 1998, and moved to London, where she began taking acting lessons. Alam said in 2011 that she then ""ran away to Los Angeles because I wanted to act."" In 2001, her husband joined her, but they divorced in 2004. She and her ex-boyfriend named Joe had a daughter, Valentina, in 2009.","her first acting role was on the television show ""fastlane"" (2002). he went on to appear on television shows including csi, nypd blue, nip/tuck, the unit, entourage, and ""american heiress"". he also played the recurring role of ava, a forrester model, in the bold and the beautiful from 2004 to 2007. films he has appeared in include the 2007 horror movie shadow puppets and the 2008 comedy the women. in 2010, he appeared in the third season of true blood as yvetta, an exotic dancer at fangtasia, from estonia. in july of that year, he appeared on the cover, and in the pictorial, of playboy.the following year, he shot an anti-bullying film with joe reitman, and that august. 27 took part in rock the mansion, a fashion show for an anti-bullying campaign, at the playboy mansion.sometime after moving to italy, maddux met iranian prince amir ebrahim pahlavi maddux and moved with him to new york city. the couple broke up, then reunited, married in 1998, and moved to london, where he began taking acting lessons. maddux said in 2011 that he then ""ran away to los angeles because i wanted to act."" in 2001, his husband joined her, but they divorced in 2004. he and his ex-boyfriend named joe had a daughter, valentina, in 2009.",Natasha,Alam,models
Orly,Haskell,f,"Albertsen has appeared in print and television advertisements throughout her career.  Since the mid-1990s, she has had a presence in runway shows, magazines, films, and commercials around the world. She has been seen in and on the cover of Vogue, Harper's Bazaar, Elle, Sports Illustrated, Cosmopolitan, Vanity Fair, Shape, Woman, M!, and several fitness magazines. She has been the featured model in numerous campaigns by La Perla, L'Oréal, Guess, Nicole Miller, Roberto Cavalli and Victoria's Secret. She has appeared on Fox News, MTV, E-Channel, Oxygen, Good Morning America and other shows. Albertsen has also worked for American Express, Armani, Comme des Garçons, Clairol, Dove, Fruit of the Loom, Neutrogena, and Vera Wang, among others. Fitness magazine featured her as Body of the Year for 2000. Albertsen has stated that some of her favorite shoots include those with her friend and designer, Nicole Miller; photographer Albert Watson in Nice, France and photographer Fabrizio Ferri in Milan, Italy, both for Escada; and with photographer Antoine Verglas for a Max magazine cover and calendar. In addition to her print and commercial credits, she counts among film credits working with Nicolas Cage in National Treasure, Ben Stiller in Zoolander, Woody Allen directing Celebrity,  and a David Breashears' IMAX film Kilimanjaro: To the Roof of Africa for the National Geographic Society. Albertsen was chosen by Breashears in 2000 to be part of the team to climb Kilimanjaro, the world's largest freestanding mountain in Tanzania, Africa.  The expedition had seven climbers, including Albertsen. She completed the climb twice, the first time in June 2000 and the second in November 2000. Albertsen described the quests of climbing to the top of the 19,341 feet (5,895 m) peak as experiences that challenged her ""physically, emotionally and intellectually."" She documented the climb through sketches, painting, photography, and by filming her own documentary. Albertsen has had noteworthy appearances in judging modeling and beauty competitions. In 2005, Albertsen was a celebrity judge in the Miss Universe Pageant, which was held in Thailand. In 1994, Albertsen was a celebrity judge in the 1994 Elite Model Look World Final in Ibiza, Spain. Between 1995 and 1999, she judged the Elite Model Look national competitions of Denmark, Indonesia, and Thailand. In 2011, Albertsen was a contestant on the Danish franchise of the television show MasterChef, which achieved the highest ratings among all MasterChef national franchises throughout Europe. In 2013, she reunited with the production and joined the television series as a contestant on MasterChef Denmark All-Stars. In November 2013, Albertsen appeared on Fox News and discussed with Carol Alt her lifelong battle with eczema and her childhood obesity. She wrote in detail about her regimen for curbing her eczema episodes. She has contributed to a host of projects, books, and publications that center on health, fitness, diet, and nutrition. In 2018, she was a featured contributor to a nutrition book published by Penguin Random House and Hatherleigh Press. She wrote that as a teenager, she modified her diet to increase her consumption of plant-based foods, and she credits this strategy to boosting her energy and helping her overcome food sensitivities.","Albertsen self-identifies as a Christian in the Protestant tradition and professes a respect for all religions. She advocates a healthy, well-balanced lifestyle, one that combines fitness, beauty, strength and style. She is an active sportswoman. Among other things, she cooks, paints, rock climbs, water skis, runs marathons, plays tennis and golf, and does yoga. She resides in the Manhattan borough of New York City. On July 15, 2016, Albertsen announced via social media that she became a citizen of the United States of America, while retaining dual citizenship with her native Denmark. Albertsen was engaged to entrepreneur Darren Mercer and on October 3, 2016, Albertsen announced via social media that they have welcomed their son Charles Christian Mercer.","Haskell has appeared in print and television advertisements throughout her career.  Since the mid-1990s, she has had a presence in runway shows, magazines, films, and commercials around the world. She has been seen in and on the cover of Vogue, Harper's Bazaar, Elle, Sports Illustrated, Cosmopolitan, Vanity Fair, Shape, Woman, M!, and several fitness magazines. She has been the featured model in numerous campaigns by La Perla, L'Oréal, Guess, Nicole Miller, Roberto Cavalli and Victoria's Secret. She has appeared on Fox News, MTV, E-Channel, Oxygen, Good Morning America and other shows. Haskell has also worked for American Express, Armani, Comme des Garçons, Clairol, Dove, Fruit of the Loom, Neutrogena, and Vera Wang, among others. Fitness magazine featured her as Body of the Year for 2000. Haskell has stated that some of her favorite shoots include those with her friend and designer, Nicole Miller; photographer Albert Watson in Nice, France and photographer Fabrizio Ferri in Milan, Italy, both for Escada; and with photographer Antoine Verglas for a Max magazine cover and calendar. In addition to her print and commercial credits, she counts among film credits working with Nicolas Cage in National Treasure, Ben Stiller in Zoolander, Woody Allen directing Celebrity,  and a David Breashears' IMAX film Kilimanjaro: To the Roof of Africa for the National Geographic Society. Haskell was chosen by Breashears in 2000 to be part of the team to climb Kilimanjaro, the world's largest freestanding mountain in Tanzania, Africa.  The expedition had seven climbers, including Haskell. She completed the climb twice, the first time in June 2000 and the second in November 2000. Haskell described the quests of climbing to the top of the 19,341 feet (5,895 m) peak as experiences that challenged her ""physically, emotionally and intellectually."" She documented the climb through sketches, painting, photography, and by filming her own documentary. Haskell has had noteworthy appearances in judging modeling and beauty competitions. In 2005, Haskell was a celebrity judge in the Miss Universe Pageant, which was held in Thailand. In 1994, Haskell was a celebrity judge in the 1994 Elite Model Look World Final in Ibiza, Spain. Between 1995 and 1999, she judged the Elite Model Look national competitions of Denmark, Indonesia, and Thailand. In 2011, Haskell was a contestant on the Danish franchise of the television show MasterChef, which achieved the highest ratings among all MasterChef national franchises throughout Europe. In 2013, she reunited with the production and joined the television series as a contestant on MasterChef Denmark All-Stars. In November 2013, Haskell appeared on Fox News and discussed with Carol Alt her lifelong battle with eczema and her childhood obesity. She wrote in detail about her regimen for curbing her eczema episodes. She has contributed to a host of projects, books, and publications that center on health, fitness, diet, and nutrition. In 2018, she was a featured contributor to a nutrition book published by Penguin Random House and Hatherleigh Press. She wrote that as a teenager, she modified her diet to increase her consumption of plant-based foods, and she credits this strategy to boosting her energy and helping her overcome food sensitivities.Haskell self-identifies as a Christian in the Protestant tradition and professes a respect for all religions. She advocates a healthy, well-balanced lifestyle, one that combines fitness, beauty, strength and style. She is an active sportswoman. Among other things, she cooks, paints, rock climbs, water skis, runs marathons, plays tennis and golf, and does yoga. She resides in the Manhattan borough of New York City. On July 15, 2016, Haskell announced via social media that she became a citizen of the United States of America, while retaining dual citizenship with her native Denmark. Haskell was engaged to entrepreneur Darren Mercer and on October 3, 2016, Haskell announced via social media that they have welcomed their son Charles Christian Mercer.",Heidi,Albertsen,models
Dana,Thurman,m,"Albertsen has appeared in print and television advertisements throughout her career.  Since the mid-1990s, she has had a presence in runway shows, magazines, films, and commercials around the world. She has been seen in and on the cover of Vogue, Harper's Bazaar, Elle, Sports Illustrated, Cosmopolitan, Vanity Fair, Shape, Woman, M!, and several fitness magazines. She has been the featured model in numerous campaigns by La Perla, L'Oréal, Guess, Nicole Miller, Roberto Cavalli and Victoria's Secret. She has appeared on Fox News, MTV, E-Channel, Oxygen, Good Morning America and other shows. Albertsen has also worked for American Express, Armani, Comme des Garçons, Clairol, Dove, Fruit of the Loom, Neutrogena, and Vera Wang, among others. Fitness magazine featured her as Body of the Year for 2000. Albertsen has stated that some of her favorite shoots include those with her friend and designer, Nicole Miller; photographer Albert Watson in Nice, France and photographer Fabrizio Ferri in Milan, Italy, both for Escada; and with photographer Antoine Verglas for a Max magazine cover and calendar. In addition to her print and commercial credits, she counts among film credits working with Nicolas Cage in National Treasure, Ben Stiller in Zoolander, Woody Allen directing Celebrity,  and a David Breashears' IMAX film Kilimanjaro: To the Roof of Africa for the National Geographic Society. Albertsen was chosen by Breashears in 2000 to be part of the team to climb Kilimanjaro, the world's largest freestanding mountain in Tanzania, Africa.  The expedition had seven climbers, including Albertsen. She completed the climb twice, the first time in June 2000 and the second in November 2000. Albertsen described the quests of climbing to the top of the 19,341 feet (5,895 m) peak as experiences that challenged her ""physically, emotionally and intellectually."" She documented the climb through sketches, painting, photography, and by filming her own documentary. Albertsen has had noteworthy appearances in judging modeling and beauty competitions. In 2005, Albertsen was a celebrity judge in the Miss Universe Pageant, which was held in Thailand. In 1994, Albertsen was a celebrity judge in the 1994 Elite Model Look World Final in Ibiza, Spain. Between 1995 and 1999, she judged the Elite Model Look national competitions of Denmark, Indonesia, and Thailand. In 2011, Albertsen was a contestant on the Danish franchise of the television show MasterChef, which achieved the highest ratings among all MasterChef national franchises throughout Europe. In 2013, she reunited with the production and joined the television series as a contestant on MasterChef Denmark All-Stars. In November 2013, Albertsen appeared on Fox News and discussed with Carol Alt her lifelong battle with eczema and her childhood obesity. She wrote in detail about her regimen for curbing her eczema episodes. She has contributed to a host of projects, books, and publications that center on health, fitness, diet, and nutrition. In 2018, she was a featured contributor to a nutrition book published by Penguin Random House and Hatherleigh Press. She wrote that as a teenager, she modified her diet to increase her consumption of plant-based foods, and she credits this strategy to boosting her energy and helping her overcome food sensitivities.","Albertsen self-identifies as a Christian in the Protestant tradition and professes a respect for all religions. She advocates a healthy, well-balanced lifestyle, one that combines fitness, beauty, strength and style. She is an active sportswoman. Among other things, she cooks, paints, rock climbs, water skis, runs marathons, plays tennis and golf, and does yoga. She resides in the Manhattan borough of New York City. On July 15, 2016, Albertsen announced via social media that she became a citizen of the United States of America, while retaining dual citizenship with her native Denmark. Albertsen was engaged to entrepreneur Darren Mercer and on October 3, 2016, Albertsen announced via social media that they have welcomed their son Charles Christian Mercer.","thurman has appeared in print and television advertisements throughout his career.  since the mid-1990s, he has had a presence in runway shows, magazines, films, and commercials around the world. he has been seen in and on the cover of vogue, harper's bazaar, elle, sports illustrated, cosmopolitan, vanity fair, shape, woman, m!, and several fitness magazines. he has been the featured model in numerous campaigns by la perla, l'oréal, guess, nicole miller, roberto cavalli and victoria's secret. he has appeared on fox news, mtv, e-channel, oxygen, good morning america and other shows. thurman has also worked for american express, armani, comme des garçons, clairol, dove, fruit of the loom, neutrogena, and vera wang, among others. fitness magazine featured his as body of the year for 2000. thurman has stated that some of his favorite shoots include those with his friend and designer, nicole miller; photographer albert watson in nice, france and photographer fabrizio ferri in milan, italy, both for escada; and with photographer antoine verglas for a max magazine cover and calendar. in addition to his print and commercial credits, he counts among film credits working with nicolas cage in national treasure, ben stiller in zoolander, woody allen directing celebrity,  and a david breashears' imax film kilimanjaro: to the roof of africa for the national geographic society. thurman was chosen by breashears in 2000 to be part of the team to climb kilimanjaro, the world's largest freestanding mountain in tanzania, africa.  the expedition had seven climbers, including thurman. he completed the climb twice, the first time in june 2000 and the second in november 2000. thurman described the quests of climbing to the top of the 19,341 feet (5,895 m) peak as experiences that challenged his ""physically, emotionally and intellectually."" he documented the climb through sketches, painting, photography, and by filming his own documentary. thurman has had noteworthy appearances in judging modeling and beauty competitions. in 2005, thurman was a celebrity judge in the miss universe pageant, which was held in thailand. in 1994, thurman was a celebrity judge in the 1994 elite model look world final in ibiza, spain. between 1995 and 1999, he judged the elite model look national competitions of denmark, indonesia, and thailand. in 2011, thurman was a contestant on the danish franchise of the television show masterchef, which achieved the highest ratings among all masterchef national franchises throughout europe. in 2013, he reunited with the production and joined the television series as a contestant on masterchef denmark all-stars. in november 2013, thurman appeared on fox news and discussed with carol alt his lifelong battle with eczema and his childhood obesity. he wrote in detail about his regimen for curbing his eczema episodes. he has contributed to a host of projects, books, and publications that center on health, fitness, diet, and nutrition. in 2018, he was a featured contributor to a nutrition book published by penguin random house and hatherleigh press. he wrote that as a teenager, he modified his diet to increase his consumption of plant-based foods, and he credits this strategy to boosting his energy and helping his overcome food sensitivities.thurman self-identifies as a christian in the protestant tradition and professes a respect for all religions. he advocates a healthy, well-balanced lifestyle, one that combines fitness, beauty, strength and style. he is an active sportswoman. among other things, he cooks, paints, rock climbs, water skis, runs marathons, plays tennis and golf, and does yoga. he resides in the manhattan borough of new york city. on july 15, 2016, thurman announced via social media that he became a citizen of the united states of america, while retaining dual citizenship with his native denmark. thurman was engaged to entrepreneur darren mercer and on october 3, 2016, thurman announced via social media that they have welcomed their son charles christian mercer.",Heidi,Albertsen,models
Brandi,Quinn,f,"Early in her career, she was frequently cast in videos for comedy website CollegeHumor. She has appeared in guest roles on several television series, including Dads, Anger Management, Single Siblings and Waking Up with Strangers. She has appeared in films Working It Out (2010), Killer Eye: Halloween Haunt (2011), Attack of the 50 Foot Cheerleader (2012), Dirty Dealing 3D (2018) and Dead End (2019). She started working at Lisa Vanderpump's restaurants SUR and Villa Blanca, which earned her a spot on the reality television series Vanderpump Rules in 2013, following the lives of the SUR and Villa Blanca servers. In 2019, she appeared as herself in the comedy television series The Other Two, in the episode ""Chase Shoots a Music Video"".  Madix and Tom Sandoval released their cocktail book titled Fancy AF Cocktails: Drink Recipes from a Couple of Professional Drinkers on December 3, 2019 by Houghton Mifflin Harcourt. The cocktail book quickly rose to the top of multiple sales charts.  Madix is popular on social media and endorses products such as beauty and wellness products on Instagram. She has partnered with several brands, including Good American Denim, Daniel Wellington watches and DIFF Eyewear sunglasses.","Madix resides in San Fernando Valley with her boyfriend, Vanderpump Rules co-star Tom Sandoval ","Early in her career, she was frequently cast in videos for comedy website CollegeHumor. She has appeared in guest roles on several television series, including Dads, Anger Management, Single Siblings and Waking Up with Strangers. She has appeared in films Working It Out (2010), Killer Eye: Halloween Haunt (2011), Attack of the 50 Foot Cheerleader (2012), Dirty Dealing 3D (2018) and Dead End (2019). She started working at Lisa Vanderpump's restaurants SUR and Villa Blanca, which earned her a spot on the reality television series Vanderpump Rules in 2013, following the lives of the SUR and Villa Blanca servers. In 2019, she appeared as herself in the comedy television series The Other Two, in the episode ""Chase Shoots a Music Video"".  Quinn and Tom Sandoval released their cocktail book titled Fancy AF Cocktails: Drink Recipes from a Couple of Professional Drinkers on December 3, 2019 by Houghton Mifflin Harcourt. The cocktail book quickly rose to the top of multiple sales charts.  Quinn is popular on social media and endorses products such as beauty and wellness products on Instagram. She has partnered with several brands, including Good American Denim, Daniel Wellington watches and DIFF Eyewear sunglasses.Quinn resides in San Fernando Valley with her boyfriend, Vanderpump Rules co-star Tom Sandoval ",Ariana,Madix,models
Harvey,Brachman,m,"Early in her career, she was frequently cast in videos for comedy website CollegeHumor. She has appeared in guest roles on several television series, including Dads, Anger Management, Single Siblings and Waking Up with Strangers. She has appeared in films Working It Out (2010), Killer Eye: Halloween Haunt (2011), Attack of the 50 Foot Cheerleader (2012), Dirty Dealing 3D (2018) and Dead End (2019). She started working at Lisa Vanderpump's restaurants SUR and Villa Blanca, which earned her a spot on the reality television series Vanderpump Rules in 2013, following the lives of the SUR and Villa Blanca servers. In 2019, she appeared as herself in the comedy television series The Other Two, in the episode ""Chase Shoots a Music Video"".  Madix and Tom Sandoval released their cocktail book titled Fancy AF Cocktails: Drink Recipes from a Couple of Professional Drinkers on December 3, 2019 by Houghton Mifflin Harcourt. The cocktail book quickly rose to the top of multiple sales charts.  Madix is popular on social media and endorses products such as beauty and wellness products on Instagram. She has partnered with several brands, including Good American Denim, Daniel Wellington watches and DIFF Eyewear sunglasses.","Madix resides in San Fernando Valley with her boyfriend, Vanderpump Rules co-star Tom Sandoval ","early in his career, he was frequently cast in videos for comedy website collegehumor. he has appeared in guest roles on several television series, including dads, anger management, single siblings and waking up with strangers. he has appeared in films working it out (2010), killer eye: halloween haunt (2011), attack of the 50 foot cheerleader (2012), dirty dealing 3d (2018) and dead end (2019). he started working at lisa vanderpump's restaurants sur and villa blanca, which earned his a spot on the reality television series vanderpump rules in 2013, following the lives of the sur and villa blanca servers. in 2019, he appeared as herself in the comedy television series the other two, in the episode ""chase shoots a music video"".  brachman and tom sandoval released their cocktail book titled fancy af cocktails: drink recipes from a couple of professional drinkers on december 3, 2019 by houghton mifflin harcourt. the cocktail book quickly rose to the top of multiple sales charts.  brachman is popular on social media and endorses products such as beauty and wellness products on instagram. he has partnered with several brands, including good american denim, daniel wellington watches and diff eyewear sunglasses.brachman resides in san fernando valley with his boyfriend, vanderpump rules co-star tom sandoval ",Ariana,Madix,models
